ID,specid,Gaia_designation,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results
Hivel1,20160515HD155304N411742V0106031_v2.9.7,Gaia DR2 1383279090527227264,240.3373482,0.0125,41.16677412,0.0175,158,G7,-184,5,-25.759,0.025,-9.745,0.04,0.118,0.016,13.01,15.21,13,0,-178,8.5,1,1.3,-5.9,0.3,0.4,5.1,0.6,0.8,6.4,0.8,1,10.1,0.6,0.9,-87,9,7,-716,128,105,574,86,109,922,136,169,0.99753,0.00047,0.00032,5446.3,1069.2,1288.2,13.7,1.4,1.9,0.0033,0.0013,0.0019,598,587,574,543,513,492,474,0,1,0.996,0.998,1,1,1,1,1,HRS,4803,20,1.89,0.03,-1.4,0.02,4919,38,2.22,0.08,-1.25,0.06,0.28,0.02,0
Hivel2,20120125F559520605047_v2.9.7,Gaia DR2 1570348658847157888,193.4370497,0.0226,55.05791676,0.021,29,F9,-230,15,-23.742,0.042,-39.545,0.041,0.197,0.029,15.63,13.89,13.19,1,-225,5,0.6,0.9,-9.4,0.2,0.2,2,0.3,0.4,4.5,0.6,0.8,10.6,0.4,0.6,57,5,4,-849,182,133,257,60,86,889,142,198,0.99728,0.00065,0.00049,2571.7,654.9,811.8,19.1,1.4,1.8,0.003,0.0012,0.002,595,585,570,542,511,487,470,0,0.993,0.995,0.999,1,1,1,1,1,HRS,5384,85,2.82,0.14,-1.54,0.08,5814,47,3.66,0.15,-1.24,0.07,0.24,0.04,0
Hivel3,20181207GAC105N47B110128_v2.9.7,Gaia DR2 966594450238136704,102.4843297,0.0464,46.83559489,0.0667,34,K5,-80,6,142.07,0.091,-285.151,0.084,1.345,0.092,14.39,16.92,16.2,0,-75,0.7,0,0.1,-8.9,0,0,0.1,0,0,0.3,0,0,8.9,0,0.1,-78,15,13,-865,81,72,111,9,10,877,73,82,0.99764,0.00035,0.00024,896.7,121.8,112.7,8.9,0.1,0.1,0.0028,0.0007,0.0007,616,601,591,567,533,503,483,0,1,1,1,1,1,1,1,1,HRS,4615,229,4.86,0.36,-1.48,0.21,4801,51,4.93,0.15,-1.09,0.09,0.17,0.04,0
Hivel4,20141228HIP5614805073_v2.9.7,Gaia DR2 771877714117984768,171.7746527,0.0301,42.40786945,0.0338,135,A1V,105,5,-39.672,0.054,-26.943,0.076,0.214,0.042,14.62,13.25,12.69,0,110,4.7,0.8,1.1,-10,0.4,0.3,0.5,0.1,0.1,4.4,0.7,1,10.9,0.5,0.8,-612,138,95,-620,207,142,-41,36,25,874,169,248,0.99761,0.00045,0.00026,353.9,233.5,250.5,92.9,54.6,184.4,0.0026,0.0012,0.0026,593,584,569,541,510,485,468,0,0.039,0.969,0.973,0.978,0.991,0.996,0.999,0.999,OUT,6554,13,4.1,0.02,-2.3,0.02,7190,49,4.02,0.09,-1.87,0.1,0.16,0.03,0
Hivel5,20180204HD141746N331518V0214060_v2.9.7,Gaia DR2 1478837543019912064,212.477709,0.0106,33.71293156,0.0146,34,F6,-257,11,-17.612,0.019,-16.573,0.034,0.105,0.019,13.09,13.51,12.51,1,-251,9.5,1.3,2.1,-6.7,0.2,0.4,2.5,0.4,0.6,9,1.3,2,11.5,0.9,1.6,-73,11,8,-856,237,146,67,43,71,863,148,242,0.99697,0.00076,0.00051,1095,395.8,598.3,74.4,6.4,7.4,0.0028,0.0013,0.0025,586,579,561,531,501,480,464,0,0,0.975,0.981,0.984,0.99,0.997,0.999,1,OUT,4835,122,1.54,0.19,-2.2,0.11,5367,81,2.37,0.25,-1.84,0.13,0.22,0.1,0
Hivel6,20170408HD160449N093841V0103180_v2.9.7,Gaia DR2 4454762486259697024,240.5153481,0.0167,9.52519609,0.0124,154,G2,167,8,-3.737,0.035,-24.323,0.023,0.126,0.024,13.63,12.54,12.35,1,173,8,1.3,1.8,-2.6,0.9,1.2,2.1,0.4,0.5,5.3,0.9,1.2,6.3,0.4,0.8,640,85,113,-453,169,126,-108,52,39,792,143,199,0.99793,0.00087,0.00041,377.6,278.3,599,195.7,105.9,541.8,0.0018,0.001,0.0018,634,617,610,577,545,536,508,0,0.002,0.861,0.898,0.904,0.951,0.981,0.989,0.997,OUT,5415,33,2.78,0.05,-1.1,0.03,5443,30,2.53,0.08,-1.12,0.05,0.28,0.02,0
Hivel7,20190509HD141757N395445B0201192_v2.9.7,Gaia DR2 1484524973071001984,214.9761967,0.0211,37.66934225,0.0244,32,F0,-250,15,-42.914,0.038,-17.258,0.05,0.222,0.035,15.83,19.17,19.25,1,-244,4.5,0.6,0.9,-7.6,0.1,0.1,1.5,0.2,0.3,4.2,0.6,0.8,8.8,0.2,0.4,-381,73,49,-676,169,112,139,50,73,790,127,194,0.99725,0.00089,0.00061,1574,460.6,644.6,18.2,1.9,2.2,0.002,0.001,0.0016,611,598,587,557,526,504,484,0,0.994,0.928,0.947,0.953,0.981,0.995,0.998,1,HRS,6238,215,3.97,0.34,-1.61,0.2,6176,90,3.35,0.3,-1.88,0.18,0.3,0.07,0
Hivel8,20180105HD125839S025413V0104218_v2.9.7,Gaia DR2 3685380427311132160,194.7714792,0.0526,-2.54719573,0.0331,127,G7,87,6,26.92,0.14,-134.331,0.068,0.723,0.063,13.61,14,13.07,0,92,1.4,0.1,0.1,-7.8,0,0,-0.6,0.1,0,1.2,0.1,0.1,7.9,0,0,606,45,52,-333,51,43,-356,41,36,779,70,81,0.99739,0.00047,0.00039,2809.9,448.1,507,-9999,-9999,-9999,0.0018,0.0005,0.0007,625,608,600,574,541,515,492,0,0,0.992,0.997,0.999,1,1,1,1,OUT,5402,29,4.16,0.05,-0.46,0.03,5363,25,4.08,0.05,-0.41,0.04,0.09,0.01,0
Hivel9,20150309HD153027N364816V0105073_v2.9.7,Gaia DR2 1375165725506487424,231.8486169,0.0136,36.03441505,0.0181,174,G5,-94,5,-15.238,0.027,-14.224,0.041,0.103,0.02,11.19,11.98,10.37,0,-88,9.7,1.6,2.4,-5.3,0.5,0.7,4.6,0.8,1.1,8,1.3,2,10.6,1,1.7,173,31,47,-631,206,140,349,69,103,741,157,236,0.99649,0.0016,0.00069,3382.6,1028.1,1097.1,20.1,3.4,4.6,0.0018,0.0012,0.0019,593,584,568,537,507,487,470,0,0.852,0.804,0.831,0.852,0.912,0.935,0.951,0.969,HRS,4243,43,0.75,0.07,-1.29,0.04,4290,22,1.17,0.05,-1.22,0.04,0.1,0.02,0
Hivel10,20121006EG220307N031056B0302024_v2.9.7,Gaia DR2 2681582248805460864,329.7057078,0.0323,1.35587727,0.0375,24,F7,-57,12,-21.883,0.068,-30.68,0.056,0.213,0.036,14.03,13.95,12.97,0,-52,4.6,0.7,1,-6.4,0.3,0.4,3.1,0.4,0.7,-2.9,0.6,0.4,7.7,0.1,0.3,706,102,154,-214,96,61,16,10,9,738,115,175,0.99728,0.00112,0.0007,119.1,59.2,70.2,176.9,65.1,177.2,0.0015,0.0008,0.0015,624,607,599,570,538,517,494,0.001,0.003,0.837,0.874,0.894,0.939,0.972,0.989,0.999,OUT,6152,260,4.06,0.41,-0.79,0.24,-999,-999,-999,-999,-999,-999,-0.29,0.02,0
