Unnamed: 0,Unnamed: 0.1,Gaia_designation,ID,specid,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results,radial_velocity,radius_val,radius_percentile_lower,radius_percentile_upper,Masas,Masas_M_sun,err_Mas_inf_Msun,err_Mas_sup_Msun,delta_g
184,184,4552754742098901504,Hivel185,20160418HD175440N181108V0111132_v2.9.7,268.2977155,0.0154,20.53873019,0.0211,86,G8,-130,7,-1.805,0.037,-29.637,0.04,0.22,0.02,13.62,12.64,11.6,1,-124,4.6,0.4,0.4,-5.2,0.2,0.3,3.0,0.2,0.3,1.7,0.1,0.2,6.3,0.0,0.1,420,39,49,-204,37,32,-228,19,17,521,51,61,0.99214,0.0094,0.00367,499.0,417.2,666.8,0.1,0.1,0.1,-0.0001,0.0003,0.0004,643,621,618,589,557,536,508,0.366,0.366,0.035,0.062,0.064,0.141,0.279,0.387,0.586,HVS,4808,77,2.23,0.13,-0.94,0.07,4861,44,2.49,0.11,-0.83,0.06,0.28,0.03,1,,10.413773536682127,9.79920768737793,11.01663303375244,1.334824976811798e+30,0.671272304154789,0.08456198926334703,0.08305280529471021,0.013489628825916535
229,229,4595327282568833152,Hivel230,20140320HD172545N271812V0113162_v2.9.7,262.9380527,0.0115,28.07730918,0.0154,100,F5,-112,8,-9.852,0.026,-26.541,0.032,0.208,0.019,13.49,12.14,11.51,1,-107,4.8,0.4,0.5,-5.6,0.2,0.3,3.3,0.3,0.3,2.3,0.2,0.2,6.9,0.0,0.0,451,41,48,-236,40,36,-13,5,5,508,52,63,0.99111,0.00952,0.00408,146.7,77.3,55.8,49.7,49.5,12.6,-0.0001,0.0002,0.0003,634,614,609,580,548,527,502,0.281,0.374,0.031,0.056,0.063,0.129,0.252,0.373,0.549,HVS,5940,26,3.68,0.04,-1.01,0.02,5731,34,2.75,0.1,-1.24,0.05,0.29,0.02,1,,8.282833099365234,7.085122108459473,8.733254432678223,2.379939335183877e+31,11.968515640854296,,,
253,253,4557012394719359616,Hivel254,20170416HD172149N234110V0106117_v2.9.7,262.7684386,0.0071,22.49568271,0.0102,155,G3,-59,6,-4.48,0.016,-26.098,0.02,0.201,0.014,13.12,16.72,14.37,1,-53,5.0,0.3,0.4,-5.1,0.2,0.2,3.1,0.2,0.2,2.3,0.1,0.2,6.4,0.0,0.0,453,29,37,-176,29,26,-116,8,8,500,37,45,0.9888,0.00887,0.00524,104.8,55.2,223.6,1.4,0.7,1.4,-0.0001,0.0002,0.0002,640,619,615,585,553,534,507,0.182,0.457,0.003,0.01,0.012,0.035,0.127,0.218,0.43,HVS,4942,25,2.21,0.04,-1.46,0.02,5077,36,2.49,0.08,-1.32,0.05,0.24,0.02,1,,11.717733383178713,8.692535400390625,14.620146751403809,1.613969378403471e+30,0.8116516863985269,0.4245799312715377,0.4075700990429074,0.01096478196143185
264,264,4410589469176268416,Hivel265,20130310HD155427N020832B0102074_v2.9.7,237.8056909,0.0249,0.40269232,0.0178,20,G5,-4,8,6.345,0.051,-26.906,0.043,0.222,0.031,12.58,17.9,15.47,1,1,4.5,0.6,0.8,-4.7,0.4,0.6,0.5,0.1,0.1,2.9,0.4,0.5,5.6,0.2,0.2,353,43,57,-89,57,43,-338,57,46,496,66,91,0.98851,0.011,0.00764,190.6,129.1,1632.1,0.4,0.2,0.1,-0.0002,0.0003,0.0005,649,627,624,593,560,548,517,0.566,0.566,0.064,0.094,0.096,0.146,0.231,0.27,0.403,HVS,4470,133,1.55,0.33,-1.14,0.17,4775,232,2.05,0.58,-1.01,0.34,-0.05,0.15,0,17.799651670956713,16.477581024169922,15.392541885375977,17.584579467773438,6.982243301042027e+29,0.3511311692754351,0.06740131225865971,0.06833720161802015,0.021379620895022322
288,288,1239855357825463424,Hivel289,20150210HD141904N190355B0209220_v2.9.7,215.5075728,0.019,19.60236491,0.023,86,G2,1,8,12.141,0.057,-34.304,0.052,0.316,0.03,15.06,13.96,12.61,1,6,3.2,0.3,0.3,-7.1,0.1,0.1,0.4,0.0,0.0,3.0,0.3,0.3,7.7,0.0,0.0,472,41,47,-18,28,25,-130,17,15,490,43,52,0.98997,0.01038,0.0039,117.9,65.2,344.6,0.8,0.4,2.3,-0.0001,0.0002,0.0003,624,608,600,571,538,518,494,0.29,0.462,0.013,0.02,0.029,0.072,0.176,0.288,0.463,HVS,5368,43,3.48,0.07,-1.26,0.04,5404,38,3.53,0.11,-1.27,0.07,0.26,0.03,1,,3.221899509429932,3.0235612392425537,3.564583539962769,2.27212409773288e+30,1.1426321839240028,0.14112408814434893,0.24350723876774294,0.011748975549395295
307,307,1247482768771074432,Hivel308,20170523HD135706N205714B0113173_v2.9.7,210.8872535,0.0433,21.72903575,0.0428,32,F0,-20,17,19.63,0.125,-50.646,0.102,0.477,0.058,16.01,16.35,13.9,1,-15,2.1,0.2,0.3,-7.6,0.1,0.1,0.2,0.0,0.0,2.0,0.2,0.3,7.9,0.0,0.0,469,48,64,-13,37,28,-118,22,21,486,51,67,0.9902,0.01062,0.00445,101.1,74.4,406.1,0.6,0.3,1.5,-0.0001,0.0003,0.0003,624,608,599,571,539,515,492,0.303,0.481,0.037,0.049,0.056,0.115,0.208,0.322,0.445,HVS,6063,298,4.21,0.48,-1.37,0.28,5957,66,3.79,0.23,-1.57,0.12,0.3,0.07,0,,1.0053998231887815,0.8899742960929871,1.1608141660690308,1.1881894046852649e+30,0.5975305027333492,0.1373109577734681,0.18484336557439915,0.03019951720402016
309,309,3725136049056254592,Hivel310,20140322HD134851N094247V05198_v2.9.7,206.1886604,0.0211,9.06878313,0.0194,113,F5,69,9,12.249,0.045,-23.302,0.041,0.242,0.027,13.12,13.45,12.61,1,74,4.1,0.4,0.6,-6.7,0.2,0.2,-0.5,0.1,0.1,3.8,0.4,0.5,7.8,0.1,0.1,471,46,60,36,29,22,-117,26,22,486,46,63,0.98857,0.00973,0.00529,159.7,90.1,280.3,0.6,0.2,3.2,-0.0001,0.0002,0.0003,622,607,597,567,535,516,493,0.282,0.414,0.023,0.042,0.059,0.106,0.215,0.301,0.439,HVS,5631,36,3.22,0.06,-1.16,0.03,5644,39,2.45,0.1,-1.37,0.04,0.26,0.02,0,,8.560757637023926,8.301175117492676,9.399285316467283,8.815206092812391e+30,4.433093333071356,,,
344,344,3698771035828394368,Hivel345,20120215F559730609031_v2.9.7,182.6251996,0.0302,-0.00221617,0.0223,70,F0,42,16,30.255,0.071,-56.338,0.047,0.574,0.041,14.55,12.99,11.3,1,47,1.7,0.1,0.1,-8.0,0.0,0.0,-0.8,0.1,0.1,1.6,0.1,0.1,8.2,0.0,0.0,463,31,33,-3,20,17,-126,18,18,480,33,35,0.98891,0.00941,0.00409,104.7,66.8,313.5,1.0,0.6,1.5,-0.0002,0.0001,0.0002,621,605,596,570,537,511,489,0.262,0.519,0.0,0.0,0.004,0.013,0.072,0.183,0.4,HVS,6197,66,4.04,0.11,-1.67,0.06,6243,48,3.83,0.15,-1.67,0.08,0.21,0.04,1,,1.462444305419922,1.3594282865524292,1.6182273626327517,1.6996783315387734e+30,0.8547540012767278,0.12051985414099363,0.18220129663291593,0.01288249551693134
384,384,1267516459040509056,Hivel385,20130214HD144325N263140F0108173_v2.9.7,221.4877243,0.033,25.87594721,0.0335,37,F5,-167,13,-57.245,0.083,20.637,0.09,0.556,0.048,15.66,16.35,15.66,1,-162,1.8,0.1,0.2,-7.6,0.0,0.1,0.5,0.0,0.0,1.6,0.1,0.1,7.8,0.0,0.0,-468,40,33,10,19,16,81,20,24,476,35,42,0.99409,0.00703,0.00375,37.9,23.1,174.9,0.2,0.1,0.3,-0.0002,0.0002,0.0002,626,609,601,574,541,516,493,0.991,1.0,0.004,0.006,0.01,0.029,0.085,0.167,0.329,HVS,5977,176,4.23,0.27,-1.33,0.16,5926,68,3.96,0.24,-1.43,0.12,0.17,0.09,1,,1.0459158420562744,0.9420053362846376,1.2069106101989746,1.3464850896257952e+30,0.6771360772571261,0.13461958835614488,0.20853340042550766,0.018620871366628676
417,417,1477370691426238720,Hivel418,20170402HD141746N331518M0201110_v2.9.7,214.9035232,0.0291,31.37798895,0.0311,106,F0,23,11,-31.047,0.079,12.983,0.066,0.323,0.038,15.37,15.62,14.95,1,28,3.1,0.3,0.4,-7.5,0.1,0.1,0.8,0.1,0.1,2.9,0.3,0.4,8.1,0.0,0.1,-423,59,47,100,22,17,178,19,22,470,44,57,0.99097,0.01772,0.00692,101.9,60.2,707.7,0.9,0.6,0.5,-0.0002,0.0002,0.0003,620,605,595,566,534,512,490,0.594,1.0,0.02,0.035,0.044,0.079,0.139,0.235,0.36,HVS,6155,32,4.04,0.05,-1.41,0.03,6115,36,3.75,0.11,-1.51,0.03,0.21,0.03,0,,1.8890424966812127,1.6222784519195557,2.07483983039856,2.8359039827463434e+30,1.4261523674862175,0.40293854206655944,0.2806852133603168,0.011220184543019634
