	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
1	Hivel2	HRS	15.63	13.89	13.19	F9	5.0	-9.4	2.0	4.5	10.6	5384	5814	85	47	-1.54	-1.24	-230	889	57	-849	257	-225	595	585	570	542	511	487	470	0.0	0.993	0.995	0.9990000000000001	1.0	1.0	1.0	1.0	1.0	2.135149978319907	4.0009039078565394e+27	10.421734586758374	3.887702992599515e+30
4	Hivel5	OUT	13.09	13.51	12.51	F6	9.5	-6.7	2.5	9.0	11.5	4835	5367	122	81	-2.2	-1.84	-257	863	-73	-856	67	-251	586	579	561	531	501	480	464	0.0	0.0	0.975	0.981	0.9840000000000001	0.99	0.997	0.9990000000000001	1.0	-1.7986180264442382	1.4985295891024162e+29	390.34373250909516	1.0946280306907337e+31
5	Hivel6	OUT	13.63	12.54	12.35	G2	8.0	-2.6	2.1	5.3	6.3	5415	5443	33	30	-1.1	-1.12	167	792	640	-453	-108	173	634	617	610	577	545	536	508	0.0	0.002	0.861	0.898	0.904	0.951	0.981	0.9890000000000001	0.997	-0.885449934959718	6.462463245367274e+28	168.33715148130437	8.608044383027776e+30
6	Hivel7	HRS	15.83	19.17	19.25	F0	4.5	-7.6	1.5	4.2	8.8	6238	6176	215	90	-1.61	-1.88	-250	790	-381	-676	139	-244	611	598	587	557	526	504	484	0.0	0.9940000000000001	0.9279999999999999	0.9470000000000001	0.953	0.981	0.995	0.998	1.0	2.563937431123282	2.6955236069967176e+27	7.021421221663761	3.472872174306596e+30
10	Hivel11	HRS	13.42	18.79	15.9	G6	10.8	-10.9	3.8	9.8	15.2	4651	4798	49	50	-1.43	-1.25	94	727	-220	-582	372	100	562	558	536	508	481	454	442	0.0	0.848	0.9	0.9129999999999999	0.94	0.961	0.983	0.9940000000000001	0.996	-1.7471187774347499	1.4291098846333608e+29	372.2609754189531	1.0798935238065345e+31
11	Hivel12	OUT	13.37	13.84	12.75	G3	9.0	-8.6	-0.8	9.0	12.5	4929	5059	26	35	-1.34	-1.2	237	726	-214	-674	161	242	579	573	554	524	495	472	457	0.0	0.415	0.843	0.8540000000000001	0.8859999999999999	0.929	0.965	0.98	0.988	-1.401212547196625	1.0392095545148052e+29	270.6979824211527	9.859361624621304e+30
12	Hivel13	OUT	13.91	17.83	15.39	G3	6.8	-3.8	3.7	3.6	6.4	5011	5055	59	58	-1.38	-1.28	-151	719	508	-503	-86	-146	636	616	612	580	548	534	507	0.0	0.0	0.821	0.868	0.8759999999999999	0.9420000000000001	0.9790000000000001	0.987	0.997	-0.25254456353118115	3.6077458644486714e+28	93.97618818569084	7.287397429608151e+30
14	Hivel15	HRS	16.03	18.34	15.51	F5	4.3	-7.0	3.0	2.9	8.1	6160	6118	109	37	-0.97	-1.07	-75	706	614	-277	213	-70	620	604	595	566	534	512	490	0.0	0.995	0.759	0.79	0.809	0.871	0.9309999999999999	0.9590000000000001	0.978	2.8626577221020675	2.0471752542990115e+27	5.332574249281093	3.210327483260583e+30
15	Hivel16	OUT	13.38	13.64	12.96	F0	6.3	-6.6	1.6	5.9	9.0	6336	6152	30	28	-1.21	-1.31	-45	699	398	-565	90	-39	608	596	584	553	521	503	483	0.0	0.009000000000000001	0.8	0.83	0.855	0.9229999999999999	0.965	0.9840000000000001	0.993	-0.6167027472679081	5.045441917850142e+28	131.42594211644027	8.020298519476016e+30
16	Hivel17	HRS	15.54	13.81	12.51	F0	3.5	-6.0	1.4	2.3	6.6	6182	6221	129	55	-1.51	-1.55	19	697	-21	-473	513	24	637	618	613	583	551	531	505	0.0	1.0	0.659	0.713	0.732	0.797	0.8640000000000001	0.915	0.953	2.819659778248621	2.1298754163312513e+27	5.547995353819358	3.246858688677088e+30
17	Hivel18	HRS	12.68	18.18	14.89	G3	8.1	-5.4	6.0	4.7	9.3	4661	5009	50	47	-2.04	-1.7	-223	697	-328	-304	538	-218	606	592	582	552	521	499	480	0.0	1.0	0.782	0.816	0.8390000000000001	0.9079999999999999	0.961	0.9790000000000001	0.99	-1.8624250943932488	1.589235105545952e+29	413.97111371345454	1.1131630997830311e+31
18	Hivel19	OUT	13.08	14.68	13.61	G7	5.2	-7.7	-2.4	4.6	9.3	4930	5024	50	50	-1.22	-1.16	218	696	-80	-659	-207	223	606	594	582	552	521	499	480	0.0	0.022000000000000002	0.736	0.775	0.7979999999999999	0.857	0.909	0.938	0.9620000000000001	-0.5000167181739954	4.53132069303887e+28	118.03388103774083	7.777768043944684e+30
19	Hivel20	HRS	15.23	13.51	12.36	F2	5.6	-8.8	2.5	5.0	10.5	5271	5435	96	54	-2.21	-2.0	-108	692	-31	-608	324	-103	596	586	572	543	512	488	471	0.0	0.9990000000000001	0.779	0.809	0.8370000000000001	0.904	0.946	0.975	0.983	1.4890598649689988	7.254277522946134e+27	18.896268619291835	4.608206678336898e+30
20	Hivel21	HRS	13.62	15.41	15.86	G2	9.4	-8.4	3.2	8.8	12.6	4902	5024	111	66	-1.47	-1.36	14	689	-426	-464	279	19	578	572	553	524	495	471	457	0.0	0.9209999999999999	0.83	0.847	0.884	0.9309999999999999	0.9690000000000001	0.988	0.993	-1.2456392679984951	9.004794772841943e+28	234.56094745615897	9.46387494134679e+30
21	Hivel22	OUT	13.96	12.29	10.83	G3	8.7	-5.8	5.5	6.2	10.1	4999	5003	28	39	-1.15	-1.09	-169	687	660	-155	-112	-164	598	587	573	543	513	491	474	0.0	0.0	0.8170000000000001	0.851	0.8909999999999999	0.956	0.9790000000000001	0.992	0.998	-0.7375962630930903	5.639707983159133e+28	146.90565207499696	8.279553848456652e+30
22	Hivel23	OUT	15.37	10.66	9.71	F0	3.2	-6.3	-0.2	2.6	6.8	6191	6170	48	42	-1.62	-1.63	8	687	340	-534	-267	14	634	616	610	580	548	529	503	0.0	0.067	0.629	0.6809999999999999	0.695	0.7609999999999999	0.841	0.885	0.9209999999999999	2.8442501084004697	2.0821790321664766e+27	5.423753665450578	3.2259160703068105e+30
23	Hivel24	OUT	13.67	14.07	13.1	F2	10.4	-5.8	9.1	4.5	11.7	5327	5466	30	32	-1.28	-1.21	-368	670	603	-224	-192	-362	587	575	562	535	504	478	463	0.0	0.0	0.8059999999999999	0.846	0.871	0.938	0.975	0.992	0.998	-1.4151666964939018	1.0526519291579949e+29	274.19951267465353	9.895632448536395e+30
24	Hivel25	HRS	14.09	9.29	9.5	Non	5.7	-3.5	2.7	1.7	4.8	5655	5907	129	25	-0.2	-0.77	19	670	126	-266	601	25	664	636	639	608	576	561	527	0.0	1.0	0.518	0.593	0.586	0.6729999999999999	0.7859999999999999	0.821	0.9009999999999999	0.31062572163754254	2.1476713489497296e+28	55.94351000129538	6.28362323311938e+30
25	Hivel26	HRS	13.73	15.95	15.25	G4	6.0	-5.7	1.2	5.4	8.0	5092	5059	62	45	-0.82	-0.84	1	669	-521	-210	361	7	618	604	594	562	530	514	492	0.001	0.9990000000000001	0.645	0.6809999999999999	0.715	0.8009999999999999	0.882	0.914	0.9470000000000001	-0.16075625191821707	3.3152830474016922e+28	86.35798508470155	7.113484054578078e+30
26	Hivel27	HRS	13.49	17.5	15.48	G6	11.5	-1.7	7.3	6.1	9.7	4630	4865	34	40	-1.64	-1.29	-110	669	352	-474	312	-104	602	588	577	547	516	496	477	0.0	0.9490000000000001	0.6579999999999999	0.691	0.715	0.784	0.865	0.899	0.9329999999999999	-1.8134892017680588	1.519195946056912e+29	395.7269981914332	1.0989201279363327e+31
27	Hivel28	OUT	16.33	13.85	13.48	F0	4.4	-8.4	1.6	4.1	9.5	6351	6440	156	66	-1.3	-1.29	-109	668	667	-12	40	-103	605	593	581	552	520	497	478	0.0	0.012	0.708	0.75	0.782	0.866	0.929	0.9620000000000001	0.981	3.1127366175690607	1.626010946872678e+27	4.235506503966341	3.0058609854986325e+30
28	Hivel29	HRS	13.75	13.5	13.39	G0	12.6	-6.9	6.2	10.9	14.3	4792	5139	34	39	-2.11	-1.72	-167	648	-260	-518	290	-162	566	562	541	512	484	459	447	0.0	0.568	0.7140000000000001	0.726	0.765	0.83	0.88	0.914	0.941	-1.7518527255878151	1.4353545897311975e+29	373.88762431133046	1.0812396401865405e+31
30	Hivel31	OUT	14.9	13.56	12.44	F5	5.2	-8.7	-3.2	4.1	10.2	5757	5706	50	52	-1.84	-1.94	77	643	545	-262	-215	83	599	588	575	546	515	491	473	0.0	0.042	0.629	0.667	0.718	0.787	0.855	0.9009999999999999	0.94	1.3199832818260049	8.476660692737792e+27	22.080387321536318	4.81786899883893e+30
31	Hivel32	OUT	13.31	13.76	12.7	G2	7.5	-11.8	-2.0	6.3	13.5	4932	5128	249	71	-1.95	-1.79	-70	639	552	-318	59	-65	573	568	548	521	492	465	451	0.0	0.013999999999999999	0.6809999999999999	0.705	0.7659999999999999	0.848	0.9079999999999999	0.953	0.971	-1.0653063169585	7.626769812176185e+28	198.66553300797565	9.025255650557595e+30
33	Hivel34	OUT	14.77	14.61	13.5	G3	5.9	-4.9	2.4	4.2	6.9	5190	5233	98	45	-1.27	-1.27	-234	635	367	-494	-160	-229	630	613	606	574	542	527	502	0.0	0.091	0.52	0.563	0.585	0.672	0.772	0.8170000000000001	0.889	0.915739941789278	1.2300482158648247e+28	32.040849592727916	5.358635611502726e+30
34	Hivel35	HRS	15.1	18.67	16.17	G2	4.1	-5.5	2.6	1.7	6.3	5335	5358	48	39	-1.18	-1.22	80	633	529	-278	205	85	643	621	618	589	557	536	508	0.0	1.0	0.444	0.563	0.573	0.71	0.8390000000000001	0.912	0.971	2.0360807164013224	4.3831448753828007e+27	11.417413064294871	3.9903894193115445e+30
35	Hivel36	HRS	13.29	13.78	12.64	G6	7.5	-5.0	4.5	5.0	8.4	4896	4916	60	49	-1.24	-1.22	-240	633	-472	-200	371	-235	614	600	590	559	527	509	488	0.0	1.0	0.595	0.66	0.698	0.8240000000000001	0.937	0.963	0.988	-1.0853063169585013	7.768562049353784e+28	202.3590010251051	9.072881255194617e+30
36	Hivel37	HRS	13.38	14.12	12.89	A3IV	5.8	-4.8	1.8	4.3	6.7	6498	6787	10	33	-2.15	-1.63	-14	628	-31	-525	345	-8	632	615	608	576	544	530	504	0.0	1.0	0.495	0.535	0.555	0.647	0.745	0.7929999999999999	0.857	-0.43713996781468545	4.276358430750285e+28	111.39250926674356	7.650134535404238e+30
38	Hivel39	HRS	13.83	14.32	13.19	G3	7.1	-7.8	3.6	6.2	10.6	4788	4927	67	55	-1.42	-1.26	-101	626	11	-523	344	-95	594	585	570	540	510	487	470	0.0	1.0	0.62	0.657	0.713	0.804	0.882	0.937	0.958	-0.42629174359537636	4.233843586355967e+28	110.28506346329688	7.628326546863014e+30
39	Hivel40	OUT	13.76	18.51	16.11	G5	13.4	-0.8	6.5	9.1	11.2	4662	4784	323	69	-1.28	-1.11	-144	622	467	-398	-99	-139	588	579	563	532	503	482	466	0.0	0.09300000000000001	0.57	0.588	0.623	0.688	0.774	0.812	0.853	-1.8755239918240392	1.6085246061769376e+29	418.9957296631773	1.1170068034855086e+31
40	Hivel41	OUT	15.12	14.36	13.53	G2	6.0	-6.0	4.6	3.2	8.2	5224	5272	62	42	-1.33	-1.35	-257	619	543	-158	-249	-252	619	602	594	565	533	511	489	0.002	0.04	0.502	0.569	0.599	0.715	0.835	0.889	0.9329999999999999	1.2292437480817817	9.215536273239939e+27	24.00504369169039	4.934296238205364e+30
41	Hivel42	HRS	14.48	14.06	13.31	G3	9.4	-7.5	8.6	3.9	12.0	4969	4990	40	40	-1.16	-1.08	-441	617	472	-349	187	-436	585	574	560	533	503	475	460	0.0	0.899	0.597	0.639	0.696	0.795	0.88	0.932	0.96	-0.3856392679984939	4.078249760148888e+28	106.23208544279468	7.547155157153491e+30
42	Hivel43	OUT	14.68	14.25	13.24	F5	5.4	-4.6	0.6	3.9	6.1	5806	5520	17	35	-2.46	-2.39	-298	616	141	-440	-408	-293	640	621	616	584	551	540	511	0.0	0.085	0.425	0.489	0.502	0.626	0.754	0.797	0.895	1.0180312008851562	1.119452400000001e+28	29.160000000000025	5.21631484209431e+30
43	Hivel44	HRS	14.06	15.59	14.99	G7	4.4	-6.5	0.5	4.1	7.7	5201	5270	225	86	-1.48	-1.38	-122	612	-502	-310	160	-117	622	607	598	568	536	517	494	0.0	1.0	0.45	0.514	0.5539999999999999	0.6859999999999999	0.7879999999999999	0.848	0.92	0.8427366175690629	1.3155987891338394e+28	34.269309433025256	5.462575631196461e+30
44	Hivel45	OUT	16.05	14.75	13.62	F0	3.2	-6.1	1.2	2.1	6.6	6190	6308	267	126	-2.11	-2.5	-201	610	330	-471	-197	-195	639	619	614	585	552	532	506	0.0	0.18899999999999997	0.41700000000000004	0.466	0.48	0.569	0.6659999999999999	0.73	0.8029999999999999	3.524250108400471	1.1130587004798774e+27	2.8993454036985606	2.697359163889495e+30
45	Hivel46	OUT	14.34	18.91	16.75	A7IV	7.6	-2.3	3.1	3.7	5.4	11544	6324	143	101	0.86	-1.49	-161	605	354	-353	-338	-155	648	626	624	591	559	550	519	0.132	0.2	0.38299999999999995	0.441	0.445	0.541	0.635	0.66	0.762	-0.06406796140395699	3.0328106513407187e+28	79.00001696641623	6.934773357254115e+30
46	Hivel47	OUT	14.71	17.43	16.46	G2	6.8	-6.5	3.7	5.5	9.3	5146	5219	50	44	-1.43	-1.44	-275	601	505	-301	-113	-270	606	594	581	551	520	500	480	0.021	0.04	0.48	0.531	0.5820000000000001	0.7140000000000001	0.826	0.897	0.94	0.5474554364688196	1.726775736177683e+28	44.97983162744681	5.90396648777994e+30
