ID,r[kpc],tv[Gyrs],distancia[kpc],rapidez_M,Class,Teff_LASP,e_Teff_LASP,[Fe/H]_LASP,Vesc(M),Pgc,Pub(M),Masas_M_sun,M_e_sup,G,G_BP,G_RP,r_GC,r
Hivel185,1.1968461125528334,0.4497901548733019,82.51819318674606,2.6608988649161613,G8,4808,77,-0.94,536,0.366,0.387,0.671272304154789,0.7543251094494992,13.62,12.64,11.6,6.3,4.6
Hivel230,,,,,F5,5940,26,-1.01,527,0.281,0.373,11.968515640854296,,13.49,12.14,11.51,6.9,4.8
Hivel254,1.199815876366135,0.7433693615402861,120.45656598545472,1.6140238466111605,G3,4942,25,-1.46,534,0.182,0.218,0.8116516863985269,1.2192217854414342,13.12,16.72,14.37,6.4,5.0
Hivel265,1.1995444086356295,0.08602451932186383,20.678322407563755,13.944215185294915,G5,4470,133,-1.14,548,0.566,0.27,0.3511311692754351,0.4194683708934552,12.58,17.9,15.47,5.6,4.5
Hivel289,,,,,G2,5368,43,-1.26,518,0.29,0.288,1.1426321839240028,1.3861394226917456,15.06,13.96,12.61,7.7,3.2
Hivel308,1.19769366310064,0.32383574641779944,62.672806073923695,3.69846033475077,F0,6063,298,-1.37,515,0.303,0.322,0.5975305027333492,0.7823738683077482,16.01,16.35,13.9,7.9,2.1
Hivel310,,,,,F5,5631,36,-1.16,516,0.282,0.301,4.433093333071356,,13.12,13.45,12.61,7.8,4.1
Hivel345,1.198888101546572,1.005974227155603,153.90839613380325,1.191768207557796,F0,6197,66,-1.67,511,0.262,0.183,0.8547540012767278,1.0369552979096437,14.55,12.99,11.3,8.2,1.7
Hivel385,1.1995755873305263,0.011834862403651059,6.579562986841125,101.3594874546625,F5,5977,176,-1.33,516,0.991,0.167,0.6771360772571261,0.8856694776826337,15.66,16.35,15.66,7.8,1.8
Hivel418,1.1981025891954051,0.014001543646587677,6.879414242510555,85.56932145745196,F0,6155,32,-1.41,512,0.594,0.235,1.4261523674862175,1.7068375808465344,15.37,15.62,14.95,8.1,3.1
Hivel438,,,,,F2,5821,239,-1.05,517,0.393,0.264,1.2575052348560682,1.5202337381868463,16.26,18.68,16.05,7.7,2.3
Hivel460,,,,,G2,5027,14,-1.82,507,0.4,0.203,1.5915177771984166,1.8183883954761737,13.01,14.55,14.49,8.6,4.9
Hivel465,1.1991480120493403,0.3613687761426112,65.64530492690501,3.318349816631934,G1,5162,149,-1.61,518,0.284,0.184,0.6709555446144608,0.709929882655166,13.84,14.47,13.01,7.6,6.8
Hivel486,1.1993277978782417,0.08966337152926673,21.32783271450135,13.3758944976408,G0,5056,107,-1.52,523,0.564,0.139,0.3298597352902971,0.3875276263488692,14.41,20.28,17.59,7.3,3.7
Hivel487,1.1988305617830686,0.01299389640476356,6.344975288700404,92.26105276193964,G7,5334,262,-1.37,519,0.811,0.002,0.8686775119889568,0.9071531808060199,14.19,18.82,16.51,7.5,2.1
Hivel494,1.1991211141974403,0.012290890599966353,6.260988785170861,97.56177588959444,G2,5030,22,-1.43,520,0.878,0.155,0.9322207261315264,1.050431716681632,13.91,14.36,13.29,7.5,4.9
Hivel507,1.199200331211925,0.7664112781244974,120.30080049265568,1.564695569389996,F0,6163,120,-1.55,512,0.38,0.137,0.8525117568824983,1.0232053279589024,15.49,14.19,13.76,8.2,2.7
Hivel510,,,,,G3,5308,54,-0.93,499,0.365,0.174,1.7228073350225126,1.9912842257316177,14.68,17.34,16.27,9.3,3.2
Hivel518,,,,,G7,4932,30,-1.0,501,0.372,0.342,1.4326228617237322,1.4632668297309857,12.69,17.85,15.62,9.1,3.7
Hivel528,,,,,G7,4588,37,-1.01,507,0.179,0.276,1.047903186382246,1.2404005692829394,12.25,12.86,11.53,8.6,5.4
Hivel545,1.1989984362019763,0.012734229539673514,7.149062283978696,94.15555393174708,F7,5749,121,-1.33,509,0.446,0.135,0.3085150833287027,0.4046922137685296,16.59,18.59,16.3,8.4,2.0
Hivel549,1.1985882475822873,0.1313726204483494,29.637632925728425,9.123577222496872,G2,5256,23,-1.5,512,0.515,0.196,0.3991255367139499,0.49234482568524207,15.02,15.4,14.47,8.1,3.2
Hivel574,1.1991802128264688,0.01416387210098069,7.3566880157020655,84.66471627793356,G2,5024,73,-1.38,507,0.948,0.041,0.8384066422505461,0.903852641939663,13.69,14.96,13.84,8.6,4.9
Hivel578,1.1997338614575532,0.38263703134065974,67.50782856710785,3.1354358391659076,F0,6217,203,-1.03,514,0.334,0.157,0.7093647145404646,0.9162942286550286,15.68,14.6,12.33,8.0,2.0
Hivel582,1.1996036147013442,0.011705707771112017,6.907529732651272,102.48022914614282,G7,5115,271,-1.06,513,0.983,0.0,0.3517695482075092,0.3576892551546622,14.02,16.04,16.48,8.1,0.4
Hivel583,1.1991491464446484,0.5023797810258595,84.25520359623047,2.3869375156698904,G0,5752,84,-0.98,510,0.629,0.064,0.7773816508908749,0.923639502483524,16.04,13.81,12.66,8.3,1.9
